"project_name","SITE_ID","SITE_ID_CORR_IND","sys_sample_code","sample_delivery_group","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","lab_anl_method_name","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"SCRN_ALLEG-CO1","02-ALGY-20.3","N","02-ALGY-20.3-09152021-W","R2109606","alkalinity, total (as caco3)",2021-09-15 08:15:00,"ALK","T",54.3,"mg/l","SM 2320 B",1.8,"mg/l",2,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-ALGY-20.3","N","02-ALGY-20.3-09152021-W","R2109606","aluminum",2021-09-15 08:15:00,"7429-90-5","T",120,"ug/l","E200.8",7.6,"ug/l",10,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-ALGY-20.3","N","02-ALGY-20.3-09152021-W","R2109606","arsenic",2021-09-15 08:15:00,"7440-38-2","T",1.3,"ug/l","E200.8",0.32,"ug/l",1,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-ALGY-20.3","N","02-ALGY-20.3-09152021-W","R2109606","cadmium",2021-09-15 08:15:00,"7440-43-9","T",NA,"ug/l","E200.8",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-10-27
"SCRN_ALLEG-CO1","02-ALGY-20.3","N","02-ALGY-20.3-09152021-W","R2109606","calcium",2021-09-15 08:15:00,"7440-70-2","T",19000,"ug/l","E200.7",110,"ug/l",1000,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-ALGY-20.3","N","02-ALGY-20.3-09152021-W","R2109606","chloride (as cl)",2021-09-15 08:15:00,"16887-00-6","T",23.7,"mg/l","E300.0",0.5,"mg/l",2,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-ALGY-20.3","N","02-ALGY-20.3-09152021-W","R2109606","copper",2021-09-15 08:15:00,"7440-50-8","T",0.97,"ug/l","E200.8",0.66,"ug/l",1,"J","J","estimated value due to lab error",2021-10-27
"SCRN_ALLEG-CO1","02-ALGY-20.3","N","02-ALGY-20.3-09152021-W","R2109606","hardness (as caco3)",2021-09-15 08:15:00,"HARD","T",63.2,"mg/l","SM2340B",NA,"mg/l",6.62,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-ALGY-20.3","N","02-ALGY-20.3-09152021-W","R2109606","iron",2021-09-15 08:15:00,"7439-89-6","T",464,"ug/l","E200.7",20,"ug/l",100,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-ALGY-20.3","N","02-ALGY-20.3-09152021-W","R2109606","lead",2021-09-15 08:15:00,"7439-92-1","T",0.41,"ug/l","E200.8",0.19,"ug/l",1,"J","J","estimated value due to lab error",2021-10-27
"SCRN_ALLEG-CO1","02-ALGY-20.3","N","02-ALGY-20.3-09152021-W","R2109606","magnesium",2021-09-15 08:15:00,"7439-95-4","T",3820,"ug/l","E200.7",68,"ug/l",1000,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-ALGY-20.3","N","02-ALGY-20.3-09152021-W","R2109606","nickel",2021-09-15 08:15:00,"7440-02-0","T",0.82,"ug/l","E200.8",0.46,"ug/l",1,"J","J","estimated value due to lab error",2021-10-27
"SCRN_ALLEG-CO1","02-ALGY-20.3","N","02-ALGY-20.3-09152021-W","R2109606","nitrate+nitrite as nitrogen",2021-09-15 08:15:00,"NO3NO2N","T",0.303,"mg/l","E353.2",0.0015,"mg/l",0.002,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-ALGY-20.3","N","02-ALGY-20.3-09152021-W","R2109606","nitrogen",2021-09-15 08:15:00,"7727-37-9","T",0.59,"mg/l","Calculation",NA,"mg/l",0.1,"","R","Equipment Blank error",2021-10-27
"SCRN_ALLEG-CO1","02-ALGY-20.3","N","02-ALGY-20.3-09152021-W","R2109606","nitrogen, ammonia (as n)",2021-09-15 08:15:00,"7664-41-7","T",0.012,"mg/l","E350.1",0.003,"mg/l",0.01,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-ALGY-20.3","N","02-ALGY-20.3-09152021-W","R2109606","nitrogen, kjeldahl, total",2021-09-15 08:15:00,"KN","T",0.28,"mg/l","E351.2",0.1,"mg/l",0.1,"","R","Equipment Blank error",2021-10-27
"SCRN_ALLEG-CO1","02-ALGY-20.3","N","02-ALGY-20.3-09152021-W","R2109606","nitrogen, nitrate (as n)",2021-09-15 08:15:00,"14797-55-8","T",0.303,"mg/l","Calculation",NA,"mg/l",0.01,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-ALGY-20.3","N","02-ALGY-20.3-09152021-W","R2109606","nitrogen, nitrite",2021-09-15 08:15:00,"14797-65-0","T",NA,"mg/l","E353.2",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected",2021-10-27
"SCRN_ALLEG-CO1","02-ALGY-20.3","N","02-ALGY-20.3-09152021-W","R2109606","phosphorus, total (as p)",2021-09-15 08:15:00,"7723-14-0","T",0.0248,"mg/l","E365.1",0.0036,"mg/l",0.005,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-ALGY-20.3","N","02-ALGY-20.3-09152021-W","R2109606","silver",2021-09-15 08:15:00,"7440-22-4","T",0.36,"ug/l","E200.8",0.042,"ug/l",1,"J","R","estimated value due to lab error ; Precision error",2021-10-27
"SCRN_ALLEG-CO1","02-ALGY-20.3","N","02-ALGY-20.3-09152021-W","R2109606","turbidity",2021-09-15 08:15:00,"TURB","T",8,"ntu","E180.1",0.06,"ntu",1,"","J","estimated value due to Equipment Blank error",2021-10-27
"SCRN_ALLEG-CO1","02-ALGY-20.3","N","02-ALGY-20.3-09152021-W","R2109606","zinc",2021-09-15 08:15:00,"7440-66-6","T",NA,"ug/l","E200.8",2.5,"ug/l",5,"U","U","Analyte was analyzed for but not detected",2021-10-27
"SCRN_ALLEG-CO1","02-ALGY-49.5","N","02-ALGY-49.5-09142021-W","R2109583","aluminum",2021-09-14 16:00:00,"7429-90-5","T",306,"ug/l","E200.8",7.6,"ug/l",10,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-ALGY-49.5","N","02-ALGY-49.5-09142021-W","R2109583","arsenic",2021-09-14 16:00:00,"7440-38-2","T",1.1,"ug/l","E200.8",0.32,"ug/l",1,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-ALGY-49.5","N","02-ALGY-49.5-09142021-W","R2109583","cadmium",2021-09-14 16:00:00,"7440-43-9","T",NA,"ug/l","E200.8",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-10-27
"SCRN_ALLEG-CO1","02-ALGY-49.5","N","02-ALGY-49.5-09142021-W","R2109583","calcium",2021-09-14 16:00:00,"7440-70-2","T",8830,"ug/l","E200.7",110,"ug/l",1000,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-ALGY-49.5","N","02-ALGY-49.5-09142021-W","R2109583","chloride (as cl)",2021-09-14 16:00:00,"16887-00-6","T",8.5,"mg/l","E300.0",0.5,"mg/l",2,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-ALGY-49.5","N","02-ALGY-49.5-09142021-W","R2109583","copper",2021-09-14 16:00:00,"7440-50-8","T",1.3,"ug/l","E200.8",0.66,"ug/l",1,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-ALGY-49.5","N","02-ALGY-49.5-09142021-W","R2109583","hardness (as caco3)",2021-09-14 16:00:00,"HARD","T",32.1,"mg/l","SM2340B",NA,"mg/l",6.62,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-ALGY-49.5","N","02-ALGY-49.5-09142021-W","R2109583","turbidity",2021-09-14 16:00:00,"TURB","T",21.3,"ntu","E180.1",0.06,"ntu",1,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-ALGY-49.5","N","02-ALGY-49.5-09142021-W","R2109583","iron",2021-09-14 16:00:00,"7439-89-6","T",1160,"ug/l","E200.7",20,"ug/l",100,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-ALGY-49.5","N","02-ALGY-49.5-09142021-W","R2109583","alkalinity, total (as caco3)",2021-09-14 16:00:00,"ALK","T",28,"mg/l","SM 2320 B",1.8,"mg/l",2,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-ALGY-49.5","N","02-ALGY-49.5-09142021-W","R2109583","nitrogen, ammonia (as n)",2021-09-14 16:00:00,"7664-41-7","T",0.026,"mg/l","E350.1",0.003,"mg/l",0.01,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-ALGY-49.5","N","02-ALGY-49.5-09142021-W","R2109583","nitrogen, kjeldahl, total",2021-09-14 16:00:00,"KN","T",0.35,"mg/l","E351.2",0.1,"mg/l",0.1,"","R","Equipment Blank error",2021-10-27
"SCRN_ALLEG-CO1","02-ALGY-49.5","N","02-ALGY-49.5-09142021-W","R2109583","nitrogen, nitrate (as n)",2021-09-14 16:00:00,"14797-55-8","T",0.175,"mg/l","Calculation",NA,"mg/l",0.01,"","R","calculated parameter_see components",2021-10-27
"SCRN_ALLEG-CO1","02-ALGY-49.5","N","02-ALGY-49.5-09142021-W","R2109583","nitrogen, nitrite",2021-09-14 16:00:00,"14797-65-0","T",NA,"mg/l","E353.2",0.007,"mg/l",0.01,"U","R","Analyte was analyzed for but not detected ; Holding Time error",2021-10-27
"SCRN_ALLEG-CO1","02-ALGY-49.5","N","02-ALGY-49.5-09142021-W","R2109583","phosphorus, total (as p)",2021-09-14 16:00:00,"7723-14-0","T",0.0362,"mg/l","E365.1",0.0036,"mg/l",0.005,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-ALGY-49.5","N","02-ALGY-49.5-09142021-W","R2109583","silver",2021-09-14 16:00:00,"7440-22-4","T",NA,"ug/l","E200.8",0.042,"ug/l",1,"U","R","Analyte was analyzed for but not detected ; Precision error",2021-10-27
"SCRN_ALLEG-CO1","02-ALGY-49.5","N","02-ALGY-49.5-09142021-W","R2109583","nickel",2021-09-14 16:00:00,"7440-02-0","T",1.1,"ug/l","E200.8",0.46,"ug/l",1,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-ALGY-49.5","N","02-ALGY-49.5-09142021-W","R2109583","zinc",2021-09-14 16:00:00,"7440-66-6","T",4.8,"ug/l","E200.8",2.5,"ug/l",5,"J","J","estimated value due to lab error",2021-10-27
"SCRN_ALLEG-CO1","02-ALGY-49.5","N","02-ALGY-49.5-09142021-W","R2109583","lead",2021-09-14 16:00:00,"7439-92-1","T",0.68,"ug/l","E200.8",0.19,"ug/l",1,"J","J","estimated value due to lab error",2021-10-27
"SCRN_ALLEG-CO1","02-ALGY-49.5","N","02-ALGY-49.5-09142021-W","R2109583","magnesium",2021-09-14 16:00:00,"7439-95-4","T",2430,"ug/l","E200.7",68,"ug/l",1000,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-ALGY-49.5","N","02-ALGY-49.5-09142021-W","R2109583","nitrate+nitrite as nitrogen",2021-09-14 16:00:00,"NO3NO2N","T",0.175,"mg/l","E353.2",0.0015,"mg/l",0.002,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-ALGY-49.5","N","02-ALGY-49.5-09142021-W","R2109583","nitrogen",2021-09-14 16:00:00,"7727-37-9","T",0.52,"mg/l","Calculation",NA,"mg/l",0.1,"","T","low confidence in value due to Equipment Blank error",2021-10-27
"SCRN_ALLEG-CO1","02-BTLC-0.6","N","02-BTLC-0.6-09152021-W","R2109606","alkalinity, total (as caco3)",2021-09-15 14:30:00,"ALK","T",104,"mg/l","SM 2320 B",1.8,"mg/l",2,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-BTLC-0.6","N","02-BTLC-0.6-09152021-W","R2109606","aluminum",2021-09-15 14:30:00,"7429-90-5","T",1120,"ug/l","E200.8",152,"ug/l",200,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-BTLC-0.6","N","02-BTLC-0.6-09152021-W","R2109606","arsenic",2021-09-15 14:30:00,"7440-38-2","T",1.3,"ug/l","E200.8",0.32,"ug/l",1,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-BTLC-0.6","N","02-BTLC-0.6-09152021-W","R2109606","cadmium",2021-09-15 14:30:00,"7440-43-9","T",NA,"ug/l","E200.8",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-10-27
"SCRN_ALLEG-CO1","02-BTLC-0.6","N","02-BTLC-0.6-09152021-W","R2109606","calcium",2021-09-15 14:30:00,"7440-70-2","T",33000,"ug/l","E200.7",110,"ug/l",1000,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-BTLC-0.6","N","02-BTLC-0.6-09152021-W","R2109606","chloride (as cl)",2021-09-15 14:30:00,"16887-00-6","T",33.1,"mg/l","E300.0",0.5,"mg/l",2,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-BTLC-0.6","N","02-BTLC-0.6-09152021-W","R2109606","copper",2021-09-15 14:30:00,"7440-50-8","T",3.7,"ug/l","E200.8",0.66,"ug/l",1,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-BTLC-0.6","N","02-BTLC-0.6-09152021-W","R2109606","hardness (as caco3)",2021-09-15 14:30:00,"HARD","T",106,"mg/l","SM2340B",NA,"mg/l",6.62,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-BTLC-0.6","N","02-BTLC-0.6-09152021-W","R2109606","iron",2021-09-15 14:30:00,"7439-89-6","T",2030,"ug/l","E200.7",20,"ug/l",100,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-BTLC-0.6","N","02-BTLC-0.6-09152021-W","R2109606","lead",2021-09-15 14:30:00,"7439-92-1","T",2.1,"ug/l","E200.8",0.19,"ug/l",1,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-BTLC-0.6","N","02-BTLC-0.6-09152021-W","R2109606","magnesium",2021-09-15 14:30:00,"7439-95-4","T",5600,"ug/l","E200.7",68,"ug/l",1000,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-BTLC-0.6","N","02-BTLC-0.6-09152021-W","R2109606","nickel",2021-09-15 14:30:00,"7440-02-0","T",2.3,"ug/l","E200.8",0.46,"ug/l",1,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-BTLC-0.6","N","02-BTLC-0.6-09152021-W","R2109606","nitrate+nitrite as nitrogen",2021-09-15 14:30:00,"NO3NO2N","T",0.324,"mg/l","E353.2",0.0015,"mg/l",0.002,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-BTLC-0.6","N","02-BTLC-0.6-09152021-W","R2109606","nitrogen",2021-09-15 14:30:00,"7727-37-9","T",1.48,"mg/l","Calculation",NA,"mg/l",0.1,"","J","estimated value due to Equipment Blank error",2021-10-27
"SCRN_ALLEG-CO1","02-BTLC-0.6","N","02-BTLC-0.6-09152021-W","R2109606","nitrogen, ammonia (as n)",2021-09-15 14:30:00,"7664-41-7","T",0.03,"mg/l","E350.1",0.003,"mg/l",0.01,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-BTLC-0.6","N","02-BTLC-0.6-09152021-W","R2109606","nitrogen, kjeldahl, total",2021-09-15 14:30:00,"KN","T",1.16,"mg/l","E351.2",0.1,"mg/l",0.1,"","T","low confidence in value due to Equipment Blank error",2021-10-27
"SCRN_ALLEG-CO1","02-BTLC-0.6","N","02-BTLC-0.6-09152021-W","R2109606","nitrogen, nitrate (as n)",2021-09-15 14:30:00,"14797-55-8","T",0.324,"mg/l","Calculation",NA,"mg/l",0.01,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-BTLC-0.6","N","02-BTLC-0.6-09152021-W","R2109606","nitrogen, nitrite",2021-09-15 14:30:00,"14797-65-0","T",NA,"mg/l","E353.2",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected",2021-10-27
"SCRN_ALLEG-CO1","02-BTLC-0.6","N","02-BTLC-0.6-09152021-W","R2109606","phosphorus, total (as p)",2021-09-15 14:30:00,"7723-14-0","T",0.129,"mg/l","E365.1",0.018,"mg/l",0.025,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-BTLC-0.6","N","02-BTLC-0.6-09152021-W","R2109606","silver",2021-09-15 14:30:00,"7440-22-4","T",0.13,"ug/l","E200.8",0.042,"ug/l",1,"J","R","estimated value due to lab error ; Precision error",2021-10-27
"SCRN_ALLEG-CO1","02-BTLC-0.6","N","02-BTLC-0.6-09152021-W","R2109606","turbidity",2021-09-15 14:30:00,"TURB","T",53.4,"ntu","E180.1",0.06,"ntu",1,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-BTLC-0.6","N","02-BTLC-0.6-09152021-W","R2109606","zinc",2021-09-15 14:30:00,"7440-66-6","T",12.7,"ug/l","E200.8",2.5,"ug/l",5,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-CASS-12.5","N","02-CASS-12.5-09162021-W","R2109607","alkalinity, total (as caco3)",2021-09-16 08:00:00,"ALK","T",86.9,"mg/l","SM 2320 B",1.8,"mg/l",2,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-CASS-12.5","N","02-CASS-12.5-09162021-W","R2109607","aluminum",2021-09-16 08:00:00,"7429-90-5","T",836,"ug/l","E200.8",76,"ug/l",100,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-CASS-12.5","N","02-CASS-12.5-09162021-W","R2109607","arsenic",2021-09-16 08:00:00,"7440-38-2","T",1.5,"ug/l","E200.8",0.32,"ug/l",1,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-CASS-12.5","N","02-CASS-12.5-09162021-W","R2109607","cadmium",2021-09-16 08:00:00,"7440-43-9","T",NA,"ug/l","E200.8",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-10-27
"SCRN_ALLEG-CO1","02-CASS-12.5","N","02-CASS-12.5-09162021-W","R2109607","calcium",2021-09-16 08:00:00,"7440-70-2","T",29000,"ug/l","E200.7",110,"ug/l",1000,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-CASS-12.5","N","02-CASS-12.5-09162021-W","R2109607","chloride (as cl)",2021-09-16 08:00:00,"16887-00-6","T",18.5,"mg/l","E300.0",0.5,"mg/l",2,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-CASS-12.5","N","02-CASS-12.5-09162021-W","R2109607","copper",2021-09-16 08:00:00,"7440-50-8","T",2.4,"ug/l","E200.8",0.66,"ug/l",1,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-CASS-12.5","N","02-CASS-12.5-09162021-W","R2109607","hardness (as caco3)",2021-09-16 08:00:00,"HARD","T",92.7,"mg/l","SM2340B",NA,"mg/l",6.62,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-CASS-12.5","N","02-CASS-12.5-09162021-W","R2109607","iron",2021-09-16 08:00:00,"7439-89-6","T",1780,"ug/l","E200.7",20,"ug/l",100,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-CASS-12.5","N","02-CASS-12.5-09162021-W","R2109607","lead",2021-09-16 08:00:00,"7439-92-1","T",1.3,"ug/l","E200.8",0.19,"ug/l",1,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-CASS-12.5","N","02-CASS-12.5-09162021-W","R2109607","magnesium",2021-09-16 08:00:00,"7439-95-4","T",4890,"ug/l","E200.7",68,"ug/l",1000,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-CASS-12.5","N","02-CASS-12.5-09162021-W","R2109607","nickel",2021-09-16 08:00:00,"7440-02-0","T",2,"ug/l","E200.8",0.46,"ug/l",1,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-CASS-12.5","N","02-CASS-12.5-09162021-W","R2109607","nitrate+nitrite as nitrogen",2021-09-16 08:00:00,"NO3NO2N","T",0.292,"mg/l","E353.2",0.0015,"mg/l",0.002,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-CASS-12.5","N","02-CASS-12.5-09162021-W","R2109607","nitrogen",2021-09-16 08:00:00,"7727-37-9","T",0.68,"mg/l","Calculation",NA,"mg/l",0.1,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-CASS-12.5","N","02-CASS-12.5-09162021-W","R2109607","nitrogen, ammonia (as n)",2021-09-16 08:00:00,"7664-41-7","T",0.023,"mg/l","E350.1",0.003,"mg/l",0.01,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-CASS-12.5","N","02-CASS-12.5-09162021-W","R2109607","nitrogen, kjeldahl, total",2021-09-16 08:00:00,"KN","T",0.38,"mg/l","E351.2",0.1,"mg/l",0.1,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-CASS-12.5","N","02-CASS-12.5-09162021-W","R2109607","nitrogen, nitrate (as n)",2021-09-16 08:00:00,"14797-55-8","T",0.292,"mg/l","Calculation",NA,"mg/l",0.01,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-CASS-12.5","N","02-CASS-12.5-09162021-W","R2109607","nitrogen, nitrite",2021-09-16 08:00:00,"14797-65-0","T",NA,"mg/l","E353.2",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected",2021-10-27
"SCRN_ALLEG-CO1","02-CASS-12.5","N","02-CASS-12.5-09162021-W","R2109607","phosphorus, total (as p)",2021-09-16 08:00:00,"7723-14-0","T",0.0692,"mg/l","E365.1",0.0036,"mg/l",0.005,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-CASS-12.5","N","02-CASS-12.5-09162021-W","R2109607","silver",2021-09-16 08:00:00,"7440-22-4","T",0.11,"ug/l","E200.8",0.042,"ug/l",1,"J","R","estimated value due to lab error ; Precision error",2021-10-27
"SCRN_ALLEG-CO1","02-CASS-12.5","N","02-CASS-12.5-09162021-W","R2109607","turbidity",2021-09-16 08:00:00,"TURB","T",20.9,"ntu","E180.1",0.06,"ntu",1,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-CASS-12.5","N","02-CASS-12.5-09162021-W","R2109607","zinc",2021-09-16 08:00:00,"7440-66-6","T",5.3,"ug/l","E200.8",2.5,"ug/l",5,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-CASS-2.3","N","02-CASS-2.3-09162021-W","R2109607","alkalinity, total (as caco3)",2021-09-16 09:00:00,"ALK","T",77.6,"mg/l","SM 2320 B",1.8,"mg/l",2,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-CASS-2.3","N","02-CASS-2.3-09162021-W","R2109607","aluminum",2021-09-16 09:00:00,"7429-90-5","T",533,"ug/l","E200.8",76,"ug/l",100,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-CASS-2.3","N","02-CASS-2.3-09162021-W","R2109607","arsenic",2021-09-16 09:00:00,"7440-38-2","T",3,"ug/l","E200.8",0.32,"ug/l",1,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-CASS-2.3","N","02-CASS-2.3-09162021-W","R2109607","cadmium",2021-09-16 09:00:00,"7440-43-9","T",NA,"ug/l","E200.8",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2021-10-27
"SCRN_ALLEG-CO1","02-CASS-2.3","N","02-CASS-2.3-09162021-W","R2109607","calcium",2021-09-16 09:00:00,"7440-70-2","T",25700,"ug/l","E200.7",110,"ug/l",1000,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-CASS-2.3","N","02-CASS-2.3-09162021-W","R2109607","chloride (as cl)",2021-09-16 09:00:00,"16887-00-6","T",32.4,"mg/l","E300.0",0.5,"mg/l",2,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-CASS-2.3","N","02-CASS-2.3-09162021-W","R2109607","copper",2021-09-16 09:00:00,"7440-50-8","T",3.8,"ug/l","E200.8",0.66,"ug/l",1,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-CASS-2.3","N","02-CASS-2.3-09162021-W","R2109607","hardness (as caco3)",2021-09-16 09:00:00,"HARD","T",85.2,"mg/l","SM2340B",NA,"mg/l",6.62,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-CASS-2.3","N","02-CASS-2.3-09162021-W","R2109607","iron",2021-09-16 09:00:00,"7439-89-6","T",1190,"ug/l","E200.7",20,"ug/l",100,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-CASS-2.3","N","02-CASS-2.3-09162021-W","R2109607","lead",2021-09-16 09:00:00,"7439-92-1","T",1.7,"ug/l","E200.8",0.19,"ug/l",1,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-CASS-2.3","N","02-CASS-2.3-09162021-W","R2109607","magnesium",2021-09-16 09:00:00,"7439-95-4","T",5110,"ug/l","E200.7",68,"ug/l",1000,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-CASS-2.3","N","02-CASS-2.3-09162021-W","R2109607","nickel",2021-09-16 09:00:00,"7440-02-0","T",1.9,"ug/l","E200.8",0.46,"ug/l",1,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-CASS-2.3","N","02-CASS-2.3-09162021-W","R2109607","nitrate+nitrite as nitrogen",2021-09-16 09:00:00,"NO3NO2N","T",0.639,"mg/l","E353.2",0.0015,"mg/l",0.002,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-CASS-2.3","N","02-CASS-2.3-09162021-W","R2109607","nitrogen",2021-09-16 09:00:00,"7727-37-9","T",1.38,"mg/l","Calculation",NA,"mg/l",0.1,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-CASS-2.3","N","02-CASS-2.3-09162021-W","R2109607","nitrogen, ammonia (as n)",2021-09-16 09:00:00,"7664-41-7","T",0.132,"mg/l","E350.1",0.003,"mg/l",0.01,"","A","",2021-10-27
"SCRN_ALLEG-CO1","02-CASS-2.3","N","02-CASS-2.3-09162021-W","R2109607","nitrogen, kjeldahl, total",2021-09-16 09:00:00,"KN","T",0.74,"mg/l","E351.2",0.1,"mg/l",0.1,"","A","",2021-10-27
