cas_rn,chemical_name,fraction,result_unit,streams_param,lakes_param,rownum,dups,CHEM_PARAMETER_CDE,CHEM_PARAMETER_GROUP_ME,CHEM_PARAMETER_NAME_DESC,CHEM_PARAMETER_EPA_SRS_NUM,CHEM_PARAMETER_ID,CREATE_DATE,END_DATE,UPDATE_DATE,UPDATED_BY_GUID,check,notes.check,alt.pcode,altpcode
TVS,TOTAL VOLATILE SOLIDS,NA,mg/l,X,NA,1,1,D00003,"Inorganics, Major, Non-metals","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",D
TSO,TOTAL SOLIDS,NA,mg/l,X,NA,2,1,U00500,Physical,"Total solids dried at 105 degrees Celsius, water, unfiltered, milligrams per liter",Total solids,"NA","NA","NA","NA","NA","NA","NA","NA",NA
TDS,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",NA,mg/l,X,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PH,PH,NA,ph units,X,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HARD,HARDNESS (AS CACO3),T,mg/l,X,NA,5,1,U00900,Physical,"Hardness, water, milligrams per liter as calcium carbonate",Total hardness -- SDWA NPDWR,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
SC,SPECIFIC CONDUCTANCE,NA,umhos/cm,X,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FECCOLIFORM,FECAL COLIFORM,NA,cfu/100ml,X,NA,7,1,U61215,Microbiological,"Fecal coliforms, water, colonies per 100 milliliters",Fecal coliforms,"NA","NA","NA","NA","NA","NA","NA","NA",NA
COLIF,COLIFORM,NA,cfu/100ml,X,NA,8,1,U61213,Microbiological,"Total coliforms, water, colonies per 100 milliliters",Total coliforms,"NA","NA","NA","NA","NA","NA","NA","NA",NA
TSS,TOTAL SUSPENDED SOLIDS,NA,mg/l,X,NA,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TEMP,TEMPERATURE,NA,deg c,X,NA,10,1,U00010,Physical,"Temperature, water, degrees Celsius","Temperature, water","NA","NA","NA","NA","NA","NA","NA","NA",NA
DISS_OXYGEN,DISSOLVED OXYGEN,NA,mg/l,X,NA,11,1,U00300,"Inorganics, Major, Non-metals","Dissolved oxygen, water, unfiltered, milligrams per liter",Oxygen,"NA","NA","NA","NA","NA","NA","NA","NA",NA
TOC,TOTAL ORGANIC CARBON,T,mg/l,X,NA,12,1,U00680,"Organics, other","Organic carbon, water, unfiltered, milligrams per liter",Organic carbon,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
TOC,TOTAL ORGANIC CARBON,D,mg/l,X,NA,13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14265-44-2,PHOSPHATE ION,NA,mg/l,X,NA,14,1,U70507,Nutrient,"Orthophosphate, water, unfiltered, milligrams per liter as phosphorus",Phosphate,"NA","NA","NA","NA","NA","NA","NA","NA",NA
7723-14-0,PHOSPHORUS,NA,mg/l,X,NA,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO3NO2N,"NITROGEN, NITRATE-NITRITE",NA,mg/l,X,NA,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14797-55-8,"NITROGEN, NITRATE (AS N)",NA,mg/l,X,NA,17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KN,"NITROGEN, KJELDAHL, TOTAL",NA,mg/l,X,NA,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7664-41-7,"NITROGEN, AMMONIA (AS N)",T,mg/l,X,NA,19,1,U00610,Nutrient,"Ammonia (NH3 + NH4+), water, unfiltered, milligrams per liter as nitrogen",Ammonia and ammonium,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
ALK,"ALKALINITY, TOTAL (AS CACO3)",NA,mg/l,X,NA,20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16887-00-6,CHLORIDE (AS CL),T,mg/l,X,NA,21,1,U99220,"Inorganics, Major, Non-metals","Chloride, water, unfiltered, milligrams per liter",Chloride,"NA","NA","NA","NA","NA",yes,NA,NA,"NA"
14808-79-8,SULFATE (AS SO4),T,mg/l,X,NA,22,1,U00946,"Inorganics, Major, Non-metals","Sulfate, water, unfiltered, milligrams per liter",Sulfate,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
7439-92-1,LEAD,T,ug/l,X,NA,23,1,U52286,"Inorganics, Minor, Metals","Lead, water, unfiltered, total, micrograms per liter",NA,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
7440-02-0,NICKEL,T,ug/l,X,NA,24,1,U52300,"Inorganics, Minor, Metals","Nickel, water, unfiltered, micrograms per liter",NA,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
7440-50-8,COPPER,T,ug/l,X,NA,25,1,U01119,"Inorganics, Minor, Metals","Copper, water, unfiltered, recoverable, micrograms per liter",Copper,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
7439-92-1,LEAD,D,ug/l,X,NA,26,1,U01049,"Inorganics, Minor, Metals","Lead, water, filtered, micrograms per liter",Lead,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
7440-02-0,NICKEL,D,ug/l,X,NA,27,1,U01065,"Inorganics, Minor, Metals","Nickel, water, filtered, micrograms per liter",Nickel,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
7440-50-8,COPPER,D,ug/l,X,NA,28,1,U01040,"Inorganics, Minor, Metals","Copper, water, filtered, micrograms per liter",Copper,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
7429-90-5,ALUMINUM,T,ug/l,X,NA,29,1,U01105,"Inorganics, Minor, Metals","Aluminum, water, unfiltered, recoverable, micrograms per liter",Aluminum,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
7439-89-6,IRON,T,ug/l,X,NA,30,1,U00980,"Inorganics, Major, Non-metals","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,"NA"
7439-95-4,MAGNESIUM,T,mg/l,X,NA,31,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7439-96-5,MANGANESE,T,ug/l,X,NA,32,1,U71883,"Inorganics, Minor, Metals","Manganese, water, unfiltered, micrograms per liter",Manganese,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
7440-09-7,POTASSIUM,T,mg/l,X,NA,33,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7440-23-5,SODIUM,T,mg/l,X,NA,34,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7440-66-6,ZINC,T,ug/l,X,NA,35,1,U52303,"Inorganics, Minor, Metals","Zinc, water, unfiltered, micrograms per liter",NA,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
7440-70-2,CALCIUM,T,mg/l,X,NA,36,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TURB,TURBIDITY,NA,ntu,X,NA,37,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14797-65-0,"NITROGEN, NITRITE",NA,mg/l,X,NA,38,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16984-48-8,FLUORIDE,T,mg/l,X,NA,39,1,U00951,"Inorganics, Major, Non-metals","Fluoride, water, unfiltered, milligrams per liter",Fluoride,"NA","NA","NA","NA","NA",yes,NA,NA,"NA"
7429-90-5,ALUMINUM,D,ug/l,X,NA,40,1,U01106,"Inorganics, Minor, Metals","Aluminum, water, filtered, micrograms per liter",Aluminum,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
7440-43-9,CADMIUM,T,ug/l,X,NA,41,1,U01027,"Inorganics, Minor, Metals","Cadmium, water, unfiltered, micrograms per liter",Cadmium,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
7439-97-6,MERCURY,T,ug/l,X,NA,42,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7440-43-9,CADMIUM,D,ug/l,X,NA,43,1,U52775,"Inorganics, Minor, Metals","Cadmium, water, filtered, milligrams per liter",NA,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
74-87-3,CHLOROMETHANE,T,ug/l,X,NA,44,1,U34418,"Organics, other","Chloromethane, water, unfiltered, recoverable, micrograms per liter",Chloromethane,"NA","NA","NA","NA","NA","NA","NA","NA",NA
TOTPHEN,"PHENOLICS, TOTAL RECOVERABLE",NA,mg/l,X,NA,45,1,U32730,"Organics, other","Phenolic compounds, water, unfiltered, recoverable, micrograms per liter",Phenols and phenolic compounds,"NA","NA","NA","NA","NA","NA","NA","NA",NA
75-27-4,BROMODICHLOROMETHANE,T,ug/l,X,NA,46,1,U34328,"Organics, other","Bromodichloromethane, water, filtered, recoverable, micrograms per liter",Dichlorobromomethane,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
67-66-3,CHLOROFORM,T,ug/l,X,NA,47,1,U99281,"Organics, other","Chloroform formation potential, water, filtered, micrograms per liter",NA,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
7440-22-4,SILVER,T,ug/l,X,NA,48,1,U01077,"Inorganics, Minor, Metals","Silver, water, unfiltered, recoverable, micrograms per liter",Silver,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
7440-38-2,ARSENIC,T,ug/l,X,NA,49,1,U50316,"Inorganics, Minor, Non-metals","Arsenic acid, water, filtered, micrograms per liter",Arsenic acid,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
14265-44-2,PHOSPHATE ION,T,mg/l,X,NA,50,1,U70507,Nutrient,"Orthophosphate, water, unfiltered, milligrams per liter as phosphorus",Phosphate,"NA","NA","NA","NA","NA","NA","NA","NA",NA
ALK,"ALKALINITY, TOTAL (AS CACO3)",T,mg/l,X,NA,51,1,U00421,"Inorganics, Major, Non-metals","Alkalinity, water, filtered, fixed endpoint (pH 4.5) titration, laboratory, milligrams per liter as calcium carbonate",Alkalinity,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
ALK,"ALKALINITY, TOTAL (AS CACO3)",T,mg/l,X,NA,51,1,U39036,"Inorganics, Major, Non-metals","Alkalinity, water, filtered, fixed endpoint (pH 4.5) titration, field, milligrams per liter as calcium carbonate",Alkalinity,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
NO3NO2N,"NITROGEN, NITRATE-NITRITE",T,mg/l,X,NA,52,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7727-37-9,NITROGEN,T,mg/l,X,NA,53,1,U00597,Nutrient,"Dinitrogen, water, unfiltered, milligrams per liter",Nitrogen,"NA","NA","NA","NA","NA",yes,matches casrn,NA,"NA"
7727-37-9,NITROGEN,T,mg/l,X,NA,53,1,U00629,Nutrient,"NA","NA","NA","NA","NA","NA","NA",yes,repeat?,NA,"NA"
KN,"NITROGEN, KJELDAHL, TOTAL",T,mg/l,X,NA,54,1,U00629,Nutrient,"NA","NA","NA","NA","NA","NA","NA",yes,repeat?,NA,"NA"
SC,SPECIFIC CONDUCTANCE,T,umhos/cm,X,NA,55,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7723-14-0,PHOSPHORUS,T,mg/l,X,NA,56,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TDS,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",T,mg/l,X,NA,57,1,U70301,Physical,"Dissolved solids, water, filtered, sum of constituents, milligrams per liter",Total dissolved solids,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
TSS,TOTAL SUSPENDED SOLIDS,T,mg/l,X,NA,58,1,U00530,Physical,"Suspended solids, water, unfiltered, milligrams per liter",Total suspended solids,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
TVS,TOTAL VOLATILE SOLIDS,T,mg/l,X,NA,59,1,D00003,"Inorganics, Major, Non-metals","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",D
TSO,TOTAL SOLIDS,T,mg/l,X,NA,60,1,U00500,Physical,"Total solids dried at 105 degrees Celsius, water, unfiltered, milligrams per liter",Total solids,"NA","NA","NA","NA","NA","NA","NA","NA",NA
TSO,TOTAL SOLIDS,T,mg/l,X,NA,60,1,U00500,Physical,"Total solids dried at 105 degrees Celsius, water, unfiltered, milligrams per liter",Total solids,"NA","NA","NA","NA","NA","NA","NA","NA",NA
PH,PH,T,ph units,X,NA,61,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHWATER,PH (WATER),T,ph units,X,NA,62,1,U00400,Physical,"pH, water, unfiltered, field, standard units",pH,"NA","NA","NA","NA","NA","NA","NA","NA",NA
14797-55-8,"NITROGEN, NITRATE (AS N)",T,mg/l,X,NA,63,1,U00618,Nutrient,"Nitrate, water, filtered, milligrams per liter as nitrogen",Nitrate,"NA","NA","NA","NA","NA",NA,casrn doesnâ€™t match descriptions,NA,"NA"
14797-65-0,"NITROGEN, NITRITE",T,mg/l,X,NA,64,1,U71856,Nutrient,"Nitrite, water, filtered, milligrams per liter as nitrite",Nitrite,"NA","NA","NA","NA","NA",yes,repeat,NA,"NA"
COLIF,COLIFORM,T,cfu/100ml,X,NA,65,1,U61213,Microbiological,"Total coliforms, water, colonies per 100 milliliters",Total coliforms,"NA","NA","NA","NA","NA","NA","NA","NA",NA
FECCOLIFORM,FECAL COLIFORM,T,cfu/100ml,X,NA,66,1,U61215,Microbiological,"Fecal coliforms, water, colonies per 100 milliliters",Fecal coliforms,"NA","NA","NA","NA","NA","NA","NA","NA",NA
127-18-4,TETRACHLOROETHYLENE (PCE),T,ug/l,X,NA,67,1,U34475,"Organics, other","Tetrachloroethene, water, unfiltered, recoverable, micrograms per liter",Tetrachloroethylene,"NA","NA","NA","NA","NA","NA","NA","NA",NA
79-01-6,TRICHLOROETHYLENE (TCE),T,ug/l,X,NA,68,1,U39180,"Organics, other","Trichloroethene, water, unfiltered, recoverable, micrograms per liter",Trichloroethylene,"NA","NA","NA","NA","NA","NA","NA","NA",NA
SC,SPECIFIC CONDUCTANCE,D,umhos/cm,X,NA,69,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TURB,TURBIDITY,T,ntu,X,NA,70,1,U00076,Physical,"Turbidity, water, unfiltered, nephelometric turbidity units",Turbidity,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
TEMP,TEMPERATURE,T,deg c,X,NA,71,1,U00010,Physical,"Temperature, water, degrees Celsius","Temperature, water","NA","NA","NA","NA","NA","NA","NA","NA",NA
DISS_OXYGEN,DISSOLVED OXYGEN,T,mg/l,X,NA,72,1,U00300,"Inorganics, Major, Non-metals","Dissolved oxygen, water, unfiltered, milligrams per liter",Oxygen,"NA","NA","NA","NA","NA","NA","NA","NA",NA
TOTPHEN,"PHENOLICS, TOTAL RECOVERABLE",T,mg/l,X,NA,73,1,U32730,"Organics, other","Phenolic compounds, water, unfiltered, recoverable, micrograms per liter",Phenols and phenolic compounds,"NA","NA","NA","NA","NA","NA","NA","NA",NA
75-09-2,METHYLENE CHLORIDE,T,ug/l,X,NA,74,1,U34423,"Organics, other","Dichloromethane, water, unfiltered, recoverable, micrograms per liter",Methylene chloride,"NA","NA","NA","NA","NA","NA","NA","NA",NA
121-48-1,CHLORODIBROMOMETHANE,T,ug/l,X,NA,75,1,U32105,"Organics, other","Dibromochloromethane, water, unfiltered, recoverable, micrograms per liter",Chlorodibromomethane,"NA","NA","NA","NA","NA","NA","NA","NA",NA
75-01-4,VINYL CHLORIDE,T,ug/l,X,NA,76,1,U39175,"Organics, other","Vinyl chloride, water, unfiltered, recoverable, micrograms per liter",Vinyl chloride,"NA","NA","NA","NA","NA","NA","NA","NA",NA
124-48-1,DIBROMOCHLOROMETHANE,T,ug/l,X,NA,77,1,U32105,"Organics, other","Dibromochloromethane, water, unfiltered, recoverable, micrograms per liter",Chlorodibromomethane,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
7439-97-6,MERCURY,T,ng/l,X,NA,78,1,U50284,"Organics, other","Methylmercury, water, unfiltered, recoverable, nanograms per liter",Methylmercury(1+),"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
7440-66-6,ZINC,D,ug/l,X,NA,79,1,U01090,"Inorganics, Minor, Metals","Zinc, water, filtered, micrograms per liter",Zinc,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
7439-95-4,MAGNESIUM,T,ug/l,X,NA,80,1,U52282,"Inorganics, Minor, Metals","Magnesium, water, unfiltered, total, milligrams per liter",NA,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
7440-09-7,POTASSIUM,T,ug/l,X,NA,81,1,U52507,"Inorganics, Major, Metals","Potassium, water, unfiltered, micrograms per liter",NA,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
7440-23-5,SODIUM,T,ug/l,X,NA,82,1,U52290,"Inorganics, Major, Metals","Sodium, water, unfiltered, milligrams per liter",NA,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
7440-70-2,CALCIUM,T,ug/l,X,NA,83,1,U52505,"Inorganics, Major, Metals","Calcium, water, unfiltered, micrograms per liter",NA,"NA","NA","NA","NA","NA",NA,NA,NA,"NA"
DOC,DISSOLVED ORGANIC CARBON,D,mg/l,X,NA,84,1,U00681,"Organics, other","Organic carbon, water, filtered, milligrams per liter",Organic carbon,"NA","NA","NA","NA","NA",yes,NA,NA,"NA"
14265-44-2,PHOSPHATE ION,D,mg/l,X,NA,85,1,U70507,Nutrient,"Orthophosphate, water, unfiltered, milligrams per liter as phosphorus",Phosphate,"NA","NA","NA","NA","NA","NA","NA","NA",NA
17060-07-0,"1,2-DICHLOROETHANE-D4",T,%,X,NA,86,1,U99832,Information,"1,2-Dichloroethane-d4, surrogate, water, unfiltered, percent recovery",NA,"NA","NA","NA","NA","NA","NA","NA","NA",NA
2037-26-5,TOLUENE-D8,T,%,X,NA,87,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
460-00-4,P-BROMOFLUOROBENZENE,T,%,X,NA,88,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOC,DISSOLVED ORGANIC CARBON,T,mg/l,X,NA,89,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17060-07-0,"1,2-DICHLOROETHANE-D4",T,ug/l,X,NA,90,1,U99832,Information,"1,2-Dichloroethane-d4, surrogate, water, unfiltered, percent recovery",NA,"NA","NA","NA","NA","NA","NA","NA","NA",D99832
2037-26-5,TOLUENE-D8,T,ug/l,X,NA,91,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
460-00-4,P-BROMOFLUOROBENZENE,T,ug/l,X,NA,92,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
